name,P_AGN,P_CV,P_HM-STAR,P_HMXB,P_LM-STAR,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_HMXB,e_P_LM-STAR,e_P_YSO,P_NS+LMXB,e_P_NS+LMXB,Class,Class_prob,Class_prob_e,conf_flag,ra,dec,PU_X,significance,F_b,HR_hms,P_inter,P_intra,G,J,W3,cp_counts,CSC_flags,GLON,GLAT,PU_TeV,TeV_extent,HESS,true_Class
2CXO J102402.2-574502,1.004016064257028e-05,0.0042369477911646,0.4905622489959839,0.0029618473895582,0.3681275100401607,0.0995030120481927,0.0003168621252622,0.0073341001798808,0.1358749245304038,0.0064005770940193,0.1368979108540591,0.0447570660990286,0.03459839357429711,0.02981034614865736,HM-STAR,0.4905622489959839,0.1358749245304038,0.0,156.00929166666666,-57.75076666666666,0.73,7.6,3.703666768678186e-15,-0.5907915839395133,0.529,0.986,13.625026,12.068,,6,,284.193115,-0.399714,9.980219999999994,extent,J1023-575,
2CXO J102400.7-574503,0.0092369477911646,0.1427008032128514,0.1018975903614457,0.0048393574297188,0.0038955823293172,0.3688278112449799,0.0152226385341369,0.0798326442931184,0.0469310790962937,0.0079996417751929,0.0066070725438919,0.1113414672585418,0.36860190763052203,0.14187963161055292,YSO,0.3688278112449799,0.1113414672585418,0.0,156.00316666666666,-57.751063888888886,0.72,7.09,4.519642471854227e-15,0.5889219533271806,0.997,0.978,18.65908,,,3,,284.193115,-0.399714,9.980219999999994,extent,J1023-575,
2CXO J102402.6-574520,0.0027510040160642,0.1063152610441767,0.1311947791164658,0.0011144578313253,0.0060291164658634,0.3449849397590361,0.0106573988263885,0.0846430697358244,0.0827272458072045,0.0046875170278797,0.0116295480376621,0.1590664497980424,0.4076104417670682,0.21673781620459953,NS+LMXB,0.4076104417670682,0.21673781620459953,0.0,156.01104166666664,-57.75569166666666,0.75,6.83,1.3759057872853445e-15,0.017321754665333235,1.0,0.868,20.022028,,,3,conf,284.193115,-0.399714,9.980219999999994,extent,J1023-575,
2CXO J102403.1-574526,0.017324297188755,0.0310843373493975,0.1336646586345381,0.0002510040160642,0.0109538152610441,0.0319879518072289,0.0307346276811927,0.0234923042175496,0.0607248841394753,0.001565086731902,0.0157793795695524,0.0203502955276329,0.7747339357429718,0.27464588294189307,NS+LMXB,0.7747339357429718,0.27464588294189307,0.0,156.013,-57.75733888888889,0.74,6.28,3.2509468114575088e-15,0.367594238377059,1.0,0.836,19.6316,,,1,,284.193115,-0.399714,9.980219999999994,extent,J1023-575,
2CXO J102401.1-574521,0.0147590361445783,0.0328463855421686,0.2334939759036144,0.0001706827309236,0.0123694779116465,0.0343925702811245,0.0251336561613083,0.0265277989583725,0.0940150793200388,0.0013712716233731,0.0181840957658781,0.0234104195549497,0.6719678714859436,0.207360925572938,NS+LMXB,0.6719678714859436,0.207360925572938,0.0,156.0047083333333,-57.75599722222222,0.73,8.41,2.196798982444064e-15,0.148031209594109,1.0,0.391,18.266891,,,1,,284.193115,-0.399714,9.980219999999994,extent,J1023-575,
2CXO J102402.6-574532,0.0071803882195448,0.0263905622489959,0.2010692771084337,0.0003614457831325,0.044191767068273,0.0542854752342704,0.0116732898751901,0.0281667516904077,0.0700874272403071,0.0019205002274643,0.0440645297991714,0.0301513925607579,0.6665210843373492,0.18313172937293531,NS+LMXB,0.6665210843373492,0.18313172937293531,0.0,156.01083333333332,-57.758919444444444,0.72,7.42,7.310332053194645e-15,0.45095088144915846,1.0,0.995,15.065188,,,1,extent,284.193115,-0.399714,9.980219999999994,extent,J1023-575,
2CXO J102401.6-574535,0.0407028112449799,0.011832329317269,0.0046987951807228,0.0,0.0031325301204819,0.0134939759036144,0.0466491020895075,0.0261774193805099,0.0093217009767378,0.0,0.0084429213325265,0.0158222209958535,0.9261395582329316,0.3011564814299022,NS+LMXB,0.9261395582329316,0.3011564814299022,1.0,156.00691666666663,-57.75987777777778,0.74,12.48,1.436617609253478e-15,0.3507929306699974,1.0,0.739,,,,0,,284.193115,-0.399714,9.980219999999994,extent,J1023-575,
2CXO J102403.1-574534,0.041004016064257,0.09714859437751,0.0395030120481927,0.0138152610441767,0.0162248995983935,0.50554718875502,0.0372570317660414,0.0508609495485192,0.0230746873640489,0.012724447566061,0.0154628952053169,0.0703442845865853,0.2867570281124497,0.08914600525017098,YSO,0.50554718875502,0.0703442845865853,0.0,156.01329166666665,-57.75954444444445,0.72,9.95,4.660045119694071e-15,0.6640734374545684,1.0,1.0,20.84234,10.713,,4,conf,284.193115,-0.399714,9.980219999999994,extent,J1023-575,
2CXO J102402.0-574537,0.0918724899598393,0.031074297188755,0.207078313253012,0.000933734939759,0.0055722891566265,0.0518473895582329,0.0869917850117038,0.0204963657032959,0.0945566108468386,0.0030459836816649,0.0092548395695448,0.0295094023550054,0.6116214859437751,0.18537084903182968,NS+LMXB,0.6116214859437751,0.18537084903182968,0.0,156.00849999999997,-57.76051666666667,0.76,8.31,1.9557757786971287e-15,0.559392647648158,1.0,,18.99436,,,1,conf,284.193115,-0.399714,9.980219999999994,extent,J1023-575,
2CXO J102401.9-574538,0.0377811244979919,0.0135358099062918,0.0208534136546184,0.0,0.0029534805890227,0.0157312583668005,0.0534986618452905,0.029484700638634,0.0317405404480333,0.0,0.0100799794464044,0.0172280062377688,0.9091449129852744,0.26851828337328754,NS+LMXB,0.9091449129852744,0.26851828337328754,1.0,156.00799999999998,-57.760644444444445,0.8,8.39,2.6329541723020456e-15,0.36244312906492837,1.0,0.52,,,,0,conf,284.193115,-0.399714,9.980219999999994,extent,J1023-575,
